//Stimulus	event-code	duration	ISI	ITI	balance	volume	lines		
ji084.wav	40	2081	2000	0	0	0	8	0	6
41	156								
42	506								
43	853								
140	979								
45	1340								
46	1449								
47	1578								
141	2081								
ji015.wav	30	2452	2000	0	0	0	8	0	6
31	222								
32	701								
33	1140								
130	1278								
35	1549								
36	1680								
37	1818								
131	2452								
ji042.wav	50	2911	2000	0	0	0	8	0	6
51	240								
52	715								
53	1108								
54	1266								
55	1533								
56	1947								
57	2160								
58	2911								
ji087.wav	30	2591	2000	0	0	0	8	0	6
31	129								
32	573								
33	937								
130	1097								
35	1439								
36	1830								
37	2001								
131	2591								
ji033.wav	50	2231	2000	0	0	0	8	0	6
51	190								
52	661								
53	986								
54	1178								
55	1462								
56	1655								
57	1809								
58	2231								
ji026.wav	50	2359	2000	0	0	0	7	0	6
51	155								
52	539								
53	891								
54	1095								
55	1529								
56	1683								
57	2359								
ji044.wav	40	2237	2000	0	0	0	8	0	6
41	217								
42	676								
43	995								
140	1133								
45	1278								
46	1587								
47	1837								
141	2237								
ji095.wav	30	2339	2000	0	0	0	7	0	6
31	155								
32	676								
33	1075								
130	1281								
35	1631								
36	1737								
131	2339								
ji003.wav	30	2274	2000	0	0	0	8	0	6
31	213								
32	709								
33	959								
130	1160								
35	1535								
36	1681								
37	1828								
131	2274								
ji071.wav	30	2362	2000	0	0	0	8	0	6
31	216								
32	732								
33	1089								
130	1215								
35	1616								
36	1757								
37	1873								
131	2362								
ji081.wav	50	2728	2000	0	0	0	8	0	6
51	261								
52	772								
53	1179								
54	1410								
55	1848								
56	2044								
57	2184								
58	2728								
ji014.wav	40	2417	2000	0	0	0	8	0	6
41	174								
42	637								
43	967								
140	1188								
45	1458								
46	1777								
47	1914								
141	2417								
ji040.wav	40	2350	2000	0	0	0	8	0	6
41	236								
42	719								
43	1071								
140	1192								
45	1349								
46	1690								
47	1896								
141	2350								
ji055.wav	30	2324	2000	0	0	0	8	0	6
31	72								
32	558								
33	921								
130	1049								
35	1549								
36	1703								
37	1935								
131	2324								
ji050.wav	40	2342	2000	0	0	0	8	0	6
41	174								
42	770								
43	1191								
140	1393								
45	1467								
46	1782								
47	2098								
141	2342								
ji080.wav	40	2710	2000	0	0	0	8	0	6
41	227								
42	978								
43	1393								
140	1549								
45	1787								
46	2102								
47	2262								
141	2710								
ji005.wav	30	2429	2000	0	0	0	8	0	6
31	149								
32	596								
33	1104								
130	1242								
35	1597								
36	1728								
37	1933								
131	2429								
ji073.wav	30	2622	2000	0	0	0	7	0	6
31	171								
32	774								
33	1227								
130	1599								
35	1770								
36	2028								
131	2622								
ji064.wav	40	2464	2000	0	0	0	8	0	6
41	223								
42	828								
43	1153								
140	1240								
45	1377								
46	1805								
47	1940								
141	2464								
ji100.wav	40	2304	2000	0	0	0	8	0	6
41	227								
42	798								
43	1198								
140	1272								
45	1329								
46	1661								
47	1751								
141	2034								
ji039.wav	30	2440	2000	0	0	0	8	0	6
31	238								
32	757								
33	1123								
130	1278								
35	1621								
36	1769								
37	1909								
131	2440								
ji029.wav	50	2288	2000	0	0	0	7	0	6
51	69								
52	637								
53	1015								
54	1140								
55	1567								
56	1700								
57	2288								
ji065.wav	30	2684	2000	0	0	0	8	0	6
31	317								
32	840								
33	1168								
130	1352								
35	1771								
36	1901								
37	1956								
131	2684								
ji070.wav	50	2394	2000	0	0	0	7	0	6
51	105								
52	731								
53	1190								
54	1303								
55	1485								
56	2097								
57	2394								
ji032.wav	40	2767	2000	0	0	0	8	0	6
41	232								
42	712								
43	1124								
140	1250								
45	1471								
46	1941								
47	2137								
141	2767								
ji018.wav	40	2890	2000	0	0	0	7	0	6
41	124								
42	654								
43	1057								
140	1359								
45	1483								
46	2070								
141	2890								
ji052.wav	40	2922	2000	0	0	0	8	0	6
41	190								
42	642								
43	1136								
140	1388								
45	1507								
46	1917								
47	2323								
141	2922								
ji082.wav	50	2641	2000	0	0	0	8	0	6
51	251								
52	782								
53	1155								
54	1290								
55	1536								
56	1960								
57	2095								
58	2641								
ji056.wav	40	2313	2000	0	0	0	8	0	6
41	71								
42	555								
43	912								
140	1021								
45	1134								
46	1664								
47	1930								
141	2313								
ji051.wav	30	2783	2000	0	0	0	8	0	6
31	242								
32	671								
33	1095								
130	1223								
35	1471								
36	1857								
37	2224								
131	2783								
ji098.wav	40	2332	2000	0	0	0	8	0	6
41	142								
42	513								
43	911								
140	1059								
45	1259								
46	1645								
47	1757								
141	2332								
ji101.wav	50	2570	2000	0	0	0	8	0	6
51	166								
52	709								
53	1118								
54	1237								
55	1616								
56	1764								
57	1943								
58	2570								
ji038.wav	40	2731	2000	0	0	0	8	0	6
41	174								
42	748								
43	1176								
140	1322								
45	1465								
46	1840								
47	2037								
141	2731								
ji046.wav	40	2490	2000	0	0	0	8	0	6
41	248								
42	748								
43	1060								
140	1187								
45	1483								
46	1753								
47	2011								
141	2490								
ji007.wav	30	2723	2000	0	0	0	8	0	6
31	165								
32	718								
33	1072								
130	1146								
35	1590								
36	1917								
37	2118								
131	2723								
ji011.wav	30	2856	2000	0	0	0	7	0	6
31	255								
32	761								
33	1159								
130	1978								
35	2146								
36	2258								
131	2856								
ji048.wav	40	2895	2000	0	0	0	7	0	6
41	175								
42	558								
43	1008								
140	1378								
45	1451								
46	2098								
141	2895								
ji008.wav	40	2754	2000	0	0	0	8	0	6
41	165								
42	711								
43	1101								
140	1343								
45	1419								
46	1924								
47	2163								
141	2754								
ji066.wav	40	2577	2000	0	0	0	8	0	6
41	249								
42	754								
43	1091								
140	1210								
